agenda ordre
you vous
resumption reprise
please vous
of de
the la
session session
( (
rise de
have ont
, ,
declare déclare
requested demandé
house assemblée
rose lèvent
a un
resumed reprise
and et
observed respecté
debate débat
on sur
minute minute
' de
this ce
s de
subject sujet
silence silence
then alors
) )
in dans
for pour
madam madame
president président
course bien
european européenne
point point
. .
parliament parlement
next prochaine
order pour
few quelques
adjourned interrompue
one un
days jours
will sera
be être
during lors
friday vendredi
aware conscients
from de
part-session session
17 17
people personnes
december décembre
press presse
assassinated vient
yes oui
1999 1999
very très
recently récemment
television télévision
mr monsieur
that que
evans evans
there il
sri sri
would serait
been été
lanka au
like voudrais
number nombre
was a
feel pense
once une
an un
again fois
initiative initiative
bomb bombe
kumar ponnambalam
to à
explosions par
ponnambalam avait
wish souhaite
type type
killings perpétrés
who qui
had avait
just seulement
happy me
visited en
suggested suggéré
new nouvelle
year année
if si
entirely fait
appropriate appropriée
hope espère
months mois
ago a
enjoyed voir
my mon
agrees accord
pleasant plaisir
your votre
advice avis
shall allons
festive posez
do ne
about de
question question
period période
as comme
rule État
relates concerne
143 concerne
concerning concernant
has a
inadmissibility l'
something chose
it il
says dit
come viens
should devrait
believe pense
want voulons
done fait
up de
despite malgré
principle principe
thursday jeudi
know savons
relative relative
stability stabilité
which qui
whether si
can peut
is est
raise soulever
precisely précisément
fundamental fondamentaux
at à
legal juridique
time temps
objection contre
when lorsque
request demande
may peut
common commune
kind genre
french français
fisheries pêche
member membres
policy politique
what ce
zimeray zimeray
proposal proposition
merely ne
subvert À
petition pétition
report rapport
already déjà
i.e. est-à-dire
not pas
legally juridiquement
presented présenté
inadmissible irrecevable
legislative législative
prior avant
many de
signed signé
start commencer
including y
myself moi-même
presentation présentation
competently convenablement
all tous
accordance conformément
with avec
principles principes
we nous
thank merci
always toujours
upheld respect
segni segni
indeed effet
so donc
gladly volontiers
quite tout
keeping maintien
positions positions
adopted adopte
draw attirer
attention attention
case cas
alexander alexandre
nikitin nikitin
us nous
here ici
consistently avec
shown montré
are sont
pleased réjouis
interest intérêt
now maintenant
however mais
courts tribunaux
he il
acquitted ait
him lui
go aller
before avant
made fait
more plus
because car
public public
prosecutor procureur
appealing appel
clear clair
mrs mme
schroedter schroedter
russia russie
too trop
access accès
look examiner
into dans
environmental environnement
facts faits
information information
constitutional constitutionnelles
right droit
received reçu
letter lettre
but mais
therefore donc
personal personnel
ask demander
met rencontré
ensure garantir
plooij-van plooij-van
get de
gorsel gorsel
dutch néerlandais
channel chaîne
well bien
tell dire
matter question
examined examiné
positive positive
light lumière
why pourquoi
no pas
air air
quaestors questeurs
quality qualité
test test
meeting réunion
wednesday mercredi
particular particulier
building bâtiment
since depuis
were ont
health santé
elected élus
? ?
safety sécurité
committee commission
1998 1998
fire se
instructions consignes
drill d'
staircases escaliers
no-smoking respecte
areas domaines
improved améliorer
enforced non
me me
either soit
accident accident
seems semble
absolutely absolument
disgraceful a
brussels bruxelles
lynne lynne
does ne
pass transmettre
buildings bâtiments
legislation législation
or ou
adhere se
strasbourg strasbourg
ourselves nous
check vérifier
actually en
also également
refer référence
passes se
they ils
reconsider réexaminer
college collège
díez díez
competent compétentes
gonzález gonzález
services services
included dans
them les
tabled déposé
questions questions
am suis
certain certains
opinions opinions
grounds raisons
vice-president vice-présidente
keen faire
answered répondu
de de
palacio palacio
previous précédente
comply conformer
appeared est
berenguer berenguer
fuster berenguer
previously auparavant
regulations règles
spanish espagnol
